년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.03.16,1,발전량,3.388,0.141,0.572,0,0.572,0.015,0,0,0,0,0,0,0,0.017,0.072,0.191,0.383,0.564,0.572,0.482,0.365,0.301,0.279,0.148,0.015,0,0,0,0,0
2018.03.17,1,발전량,10.861,0.453,1.486,0,1.486,0.015,0,0,0,0,0,0,0,0.151,0.594,0.999,1.286,1.375,1.486,1.479,1.346,1.118,0.745,0.268,0.015,0,0,0,0,0
2018.03.18,1,발전량,4.568,0.19,0.758,0,0.758,0.003,0,0,0,0,0,0,0,0.101,0.314,0.519,0.446,0.675,0.758,0.606,0.446,0.313,0.288,0.099,0.003,0,0,0,0,0
2018.03.19,1,발전량,0.698,0.029,0.158,0,0.158,0.005,0,0,0,0,0,0,0,0,0.012,0.027,0.158,0.154,0.053,0.1,0.068,0.068,0.053,0.005,0,0,0,0,0,0
2018.03.20,1,발전량,8.235,0.343,1.458,0,1.458,0.006,0,0,0,0,0,0,0,0.05,0.224,0.421,0.918,1.423,1.342,1.458,1.197,0.615,0.408,0.171,0.006,0,0,0,0,0
2018.03.21,1,발전량,2.253,0.094,0.525,0,0.525,0,0,0,0,0,0,0,0,0.009,0.045,0.08,0.525,0.397,0.457,0.38,0.225,0.112,0.024,0,0,0,0,0,0,0
2018.03.22,1,발전량,9.035,0.376,1.58,0,1.58,0.002,0,0,0,0,0,0,0,0.002,0.038,0.096,0.667,1.511,1.58,1.541,1.392,1.146,0.752,0.287,0.022,0,0,0,0,0
2018.03.23,1,발전량,10.908,0.454,1.482,0,1.482,0.001,0,0,0,0,0,0,0.001,0.16,0.589,0.988,1.268,1.427,1.482,1.46,1.339,1.116,0.747,0.31,0.021,0,0,0,0,0
2018.03.24,1,발전량,8.927,0.372,1.421,0,1.421,0.001,0,0,0,0,0,0,0.001,0.136,0.433,0.787,1.183,1.365,1.421,1.294,0.637,0.86,0.599,0.199,0.014,0,0,0,0,0
2018.03.25,1,발전량,11.287,0.47,1.543,0,1.543,0.001,0,0,0,0,0,0,0.001,0.184,0.642,1.052,1.339,1.484,1.543,1.495,1.353,1.112,0.748,0.306,0.028,0,0,0,0,0
2018.03.26,1,발전량,10.949,0.456,1.495,0,1.495,0.002,0,0,0,0,0,0,0.002,0.183,0.619,1.012,1.281,1.435,1.495,1.471,1.334,1.077,0.744,0.274,0.022,0,0,0,0,0
2018.03.27,1,발전량,10.256,0.427,1.444,0,1.444,0.003,0,0,0,0,0,0,0.003,0.179,0.605,0.987,1.248,1.379,1.444,1.403,1.213,0.941,0.603,0.224,0.026,0,0,0,0,0
2018.03.28,1,발전량,10.244,0.427,1.44,0,1.44,0.005,0,0,0,0,0,0,0.005,0.185,0.613,0.983,1.229,1.383,1.44,1.392,1.2,0.954,0.606,0.213,0.04,0,0,0,0,0
